,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,p
505,Platform Overview - Machine Learning,,4.298 visualizações,Publicado em 21 de mai. de 2019,Ciência e tecnologia,Platform Overview - Machine Learning,"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","4.298 visualizações







141

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



142


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/QR_LQQ-vvko/maxresdefault.jpg,1280.0,720.0,"In this short GCP Essentials video, see how GCP has made Machine Learning easier for you from behind the scenes. Hear Alexis Moussine-Pouchkine further discu...",1280.0,720.0,Alexis Moussine Pouchkine,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.507
507,Kaggle Meetup: Ship Detection Challenge,,504 visualizações,Publicado em 30 de nov. de 2018,Ciência e tecnologia,Kaggle Meetup: Ship Detection Challenge,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","504 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/QXEy4rdLsDw/maxresdefault.jpg,1280.0,720.0,Video from the 2018-11-29 meetup. Kaggle page: https://www.kaggle.com/c/airbus-ship-detection Meetup page: https://www.meetup.com/LearnDataScience/events/hjh...,1280.0,720.0,learn data science,/channel/UCJhW_16uxALr0X4olEW2p5A,0.409
519,flowlightさん『TalkingData AdTracking Fraud Detection Challenge』- Kaggle meetup Tokyo #4,,1.707 visualizações,Publicado em 12 de mai. de 2018,Pessoas e blogs,flowlightさん『TalkingData AdTracking Fraud Detection Challenge』- Kaggle meetup Tokyo #4,"Takami Sato













Carregando...
    







        Cancelar inscrição de Takami Sato?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,84 mil 











Carregando...
    









Carregando...
    













        Processando...","1.707 visualizações







17

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



18


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/RKXUEJVJJ-o/maxresdefault.jpg,1280.0,720.0,資料 https://www.slideshare.net/TakanoriHayashi3/talkingdata-adtracking-fraud-detection-challenge-1st-place-solution Kaggle meetup tokyo #4 https://connpass.co...,1280.0,720.0,kaggle,/channel/UCiECS_auJLNpFsvjTi1WuxQ,0.278
521,Kaggle iMaterialist (Fashion) 2019 at FGVC6 — Илья Денисов,,526 visualizações,Publicado em 18 de set. de 2019,Educação,Kaggle iMaterialist (Fashion) 2019 at FGVC6 — Илья Денисов,"ML Trainings













Carregando...
    







        Cancelar inscrição de ML Trainings?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição8,52 mil 











Carregando...
    









Carregando...
    













        Processando...","526 visualizações







18

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



19


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/RUfmEj1MC3k/maxresdefault.jpg,1280.0,720.0,"Илья Денисов рассказывает про опыт участия в соревновании Kaggle iMaterialist (Fashion) 2019 at FGVC6, в котором он выиграл золотую медаль. Из этого видео вы...",1280.0,720.0,kaggle,/channel/UCeq6ZIlvC9SVsfhfKnSvM9w,0.31
527,Reinforcement Learning with TensorFlow and Unity - Pittsburgh ML Summit ‘19,,545 visualizações,Publicado em 22 de nov. de 2019,Ciência e tecnologia,Reinforcement Learning with TensorFlow and Unity - Pittsburgh ML Summit ‘19,"Google Developers














Carregando...
    







        Cancelar inscrição de Google Developers?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,96 mi 











Carregando...
    









Carregando...
    













        Processando...","545 visualizações







13

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



14


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/S-MbpQiwfls/maxresdefault.jpg,1280.0,720.0,"Dan Goncharov, Head of 42 Robotics GDG Fremont, talks about Reinforcement Learning with TensorFlow and Unity. Also, see an overview of Machine Learning in ge...",1280.0,720.0,Dan Goncharov,/channel/UC_x5XG1OV2P6uZZ5FSM9Ttw,0.315
535,Identifying art through machine learning at MoMA,,9.476 visualizações,Publicado em 7 de mar. de 2018,Entretenimento,"#MachineLearning #Musuem #Art



    Identifying art through machine learning at MoMA","Google Arts & Culture














Carregando...
    







        Cancelar inscrição de Google Arts & Culture?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição135 mil 











Carregando...
    









Carregando...
    













        Processando...","9.476 visualizações







49

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



50


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/SLBqVOnn9Mo/maxresdefault.jpg,1280.0,720.0,"The Art Recognizer, built in collaboration with the Museum of Modern Art, helps you recover details of past exhibits in the snap of a finger. See an interest...",1280.0,720.0,museum of modern art,/channel/UCGn7dlcAmH44GqycKa_3ssA,0.49
537,Behind the Scenes Look at Data Science Interviews | CareerCon 2019 | Kaggle,,539 visualizações,Publicado em 15 de ago. de 2019,Ciência e tecnologia,Behind the Scenes Look at Data Science Interviews | CareerCon 2019 | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","539 visualizações







14

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



15


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/SNGMtLAQyDE/maxresdefault.jpg,1280.0,720.0,"In this session, we’re exploring anonymized of several real data science interviews and Quora’s Data Science Manager, William Chen will thoroughly cover what...",1280.0,720.0,careercon,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.27
545,Intelligence Artificielle VS Machine Learning VS Deep Learning - Les différences entre ces termes,,6.803 visualizações,Publicado em 10 de out. de 2018,Ciência e tecnologia,Intelligence Artificielle VS Machine Learning VS Deep Learning - Les différences entre ces termes,"Computer Scientists













Carregando...
    







        Cancelar inscrição de Computer Scientists?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição6,37 mil 











Carregando...
    









Carregando...
    













        Processando...","6.803 visualizações







180

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



181


7

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



8",https://i.ytimg.com/vi/SfOoRsUj9kQ/maxresdefault.jpg,1280.0,720.0,"Aujourd'hui on parles des différences qui résident entre les termes d'Intelligence Artificielle, de Machine Learning et de Deep Learning ! Titre de vidéo tro...",1280.0,720.0,Computer Scientists,/channel/UChXy935RrhKDL3EtFcITM5w,0.269
557,Deep Learning - Computerphile,,131.286 visualizações,Publicado em 6 de jun. de 2018,Educação,Deep Learning - Computerphile,"Computerphile














Carregando...
    







        Cancelar inscrição de Computerphile?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,51 mi 











Carregando...
    









Carregando...
    













        Processando...","131.286 visualizações







3.700

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3.701


48

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



49",https://i.ytimg.com/vi/TJlAxW-2nmI/maxresdefault.jpg,1280.0,720.0,Deep Learning with Convolutional Neural Networks - Dr Mike Pound explains. CNN background: https://youtu.be/py5byOOHZM8 Onion Routing (TOR): https://youtu.be...,1280.0,720.0,Neural Network,/channel/UC9-y-6csu5WGm29I7JiwpnA,0.443
579,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),,6.528 visualizações,Publicado em 26 de jul. de 2018,Ciência e tecnologia,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","6.528 visualizações







84

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



85


5

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6",https://i.ytimg.com/vi/UXt7gVz5EPs/maxresdefault.jpg,1280.0,720.0,"New advances in machine learning are helping organizations optimize operations, maximize output, and automate manual processes. However, the scalability of s...",1280.0,720.0,Cloud ML,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.38
582,Kaggle Reading Group: XLNet | Kaggle,,3.127 visualizações,Transmitido ao vivo em 3 de jul. de 2019,Ciência e tecnologia,Kaggle Reading Group: XLNet | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","3.127 visualizações







89

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



90


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/Ubh03Sh45b0/hqdefault.jpg,480.0,360.0,"This week we're starting a new paper in the Kaggle reading group: XLNet: Generalized Autoregressive Pretraining for Language Understanding (Yang et al, unpub...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.275
590,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,,2.107 visualizações,Transmitido ao vivo em 26 de dez. de 2018,Ciência e tecnologia,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","2.107 visualizações







58

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



59


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/VEcsf0OKhfw/maxresdefault.jpg,1280.0,720.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Attention is All You Need"" (Vaswani et al 2017). You can find a copy ...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.293
591,"What makes a good Data Scientist? By Robert Armstrong, Head of Data Science at Tesco",,774 visualizações,Publicado em 9 de out. de 2018,Educação,"What makes a good Data Scientist? By Robert Armstrong, Head of Data Science at Tesco","Data ScienceTech Institute













Carregando...
    







        Cancelar inscrição de Data ScienceTech Institute?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição148 











Carregando...
    









Carregando...
    













        Processando...","774 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/VGDtM1-o0wQ/maxresdefault.jpg,1280.0,720.0,"What is the most important thing to make a great Data Scientist? Robert Armstrong, the Head of Data Science at Tesco - the third-largest retailer in the worl...",1280.0,720.0,,/channel/UCp539uwEjrv26fWvUecGsSg,0.311
596,WD Gann Machine Learning Artificial Intelligence,,909 visualizações,Publicado em 22 de jun. de 2018,Educação,WD Gann Machine Learning Artificial Intelligence,"WD Gann Price & Time Technical Analysis













Carregando...
    







        Cancelar inscrição de WD Gann Price & Time Technical Analysis?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição3,4 mil 











Carregando...
    









Carregando...
    













        Processando...","909 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/VYwtAhB-0bI/hqdefault.jpg,480.0,360.0,My thoughts on the future of trading https://www.youtube.com/watch?v=CwcPFUpnjms http://www.timingsolution.com/ https://rapidminer.com/ https://www.python.or...,960.0,720.0,intelligence,/channel/UCpwQxzCNnYoYWZEHBuvaRXA,0.358
599,"SQL Summer Camp: Select, From and Where| Kaggle",,6.792 visualizações,Transmitido ao vivo em 26 de jun. de 2019,Ciência e tecnologia,"SQL Summer Camp: Select, From and Where| Kaggle","Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","6.792 visualizações







174

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



175


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/VljQui5es7g/hqdefault.jpg,480.0,360.0,"Today we'll learn the basic commands used to build all SQL queries: select, from and where. The first 30 minutes will be lecture and and live coding, and the...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.314
605,Kaggle Live-Coding: Tensorflow in R for Quora Insincere Questions Classification | Kaggle,,1.026 visualizações,Transmitido ao vivo em 16 de nov. de 2018,Ciência e tecnologia,Kaggle Live-Coding: Tensorflow in R for Quora Insincere Questions Classification | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.026 visualizações







25

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



26


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/W4_RQSBByN4/maxresdefault.jpg,1280.0,720.0,Join Kaggle data scientist Rachael live as she works on data science projects! See previous livestreams here: https://www.youtube.com/playlist?list=PLqFaTIg4...,1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.391
619,Kaggle Days Meetup Milan #2 - Luca Massaron,,55 visualizações,Publicado em 25 de out. de 2019,Pessoas e blogs,Kaggle Days Meetup Milan #2 - Luca Massaron,"LogicAI













Carregando...
    







        Cancelar inscrição de LogicAI?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição641 











Carregando...
    









Carregando...
    













        Processando...","55 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/WlBRu6BE0AQ/maxresdefault.jpg,1280.0,720.0,"The second edition of Kaggle Days Meetup. We had the pleasure to have Luca Massaron as a speaker, talk about Kaggle PetFinder competition. Learn about deep l...",1280.0,720.0,kaggle,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,0.666
