REGIÃO/UF,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11    ,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21 (¹)
RR, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RO, -  , -  , -  , 63.000 , 63.000 , 52.380 , 56.712 , 48.870 , 63.391 , 84.850 , 44.010 , 39.942 , 42.857 , 45.669 , -  , -  
AC, -  , -  , -  , -  , -  , 80.400 , 92.352 , 95.000 , 75.350 , -  , 54.219 , 29.676 , -  , -  , -  , -  
AM, 50.750 , 56.900 , 80.500 , 80.500 , 55.090 , 91.320 , 75.918 , 72.411 , 72.530 , 56.200 , 63.074 , 72.758 , 62.213 , 67.294 , 86.695 , 78.491 
AP, -  , -  , -  , -  , -  , -  , -  , -  , -  ,, -  , -  , -  , -  , -  , -  
PA, 58.300 , 70.160 , 68.146 , 66.146 , 57.193 , 52.290 , 53.012 , 60.780 , 68.787 , 67.431 , 59.743 , 64.492 , 72.188 , 69.329 , 82.410 , 75.503 
TO, 62.043 , 56.030 , 50.000 , 52.000 , 66.000 , 84.750 , 92.872 , 76.378 , 87.647 , 84.293 , 78.274 , 65.227 , 71.467 , 66.642 , 80.766 , 77.023 
MA, 62.043 , 58.100 , 61.311 , 61.311 , 56.090 , 55.285 , 57.255 , 49.450 , 55.767 , 60.592 , 60.921 , 46.723 , 58.419 , 55.692 , 68.773 , 76.151 
PI, 64.990 , 65.700 , 68.718 , 68.718 , 74.600 , 62.973 , 71.312 , 56.181 , 56.660 , 68.430 , 63.979 , 50.099 , 54.106 , 61.397 , 64.919 , 58.544 
CE, 50.912 , 56.120 , 68.889 , 68.889 , 66.000 , 65.380 , 60.000 , 50.000 , 73.075 , 72.473 , 77.273 , 54.015 , -  , -  , -  , -  
RN, 49.553 , 52.320 , 55.406 , 55.406 , 51.799 , 41.530 , 47.756 , 41.920 , 41.923 , 48.040 , 46.411 , 40.804 , 43.539 , 45.741 , 50.360 , 51.297 
PB, 45.588 , 52.700 , 54.373 , 54.373 , 54.700 , 46.926 , 54.842 , 43.900 , 43.180 , 48.292 , 44.327 , 44.014 , 48.742 , 45.771 , 54.837 , 56.162 
PE, 47.495 , 51.173 , 64.496 , 59.489 , 55.400 , 48.500 , 54.099 , 43.500 , 50.600 , 56.628 , 44.655 , 48.530 , 48.470 , 49.407 , 52.768 , 53.343 
AL, 61.256 , 62.500 , 69.970 , 63.426 , 54.700 , 64.450 , 59.755 , 52.800 , 53.790 , 58.201 , 50.038 , 49.754 , 44.916 , 55.258 , 59.718 , 60.643 
SE, 57.158 , 52.310 , 66.111 , 66.111 , 59.360 , 54.760 , 59.979 , 51.100 , 52.200 , 53.498 , 45.923 , 37.203 , 46.492 , 51.810 , 53.050 , 56.928 
BA, 66.718 , 50.270 , 71.997 , 71.997 , 78.800 , 65.590 , 60.031 , 63.440 , 60.000 , 77.000 , 71.575 , 59.131 , 75.185 , 86.044 , 87.377 , 94.160 
MT, 65.535 , 67.100 , 72.177 , 72.177 , 69.195 , 65.980 , 59.765 , 69.295 , 71.254 , 75.284 , 73.687 , 71.093 , 70.974 , 75.789 , 81.889 , 77.985 
MS, 70.451 , 79.250 , 75.251 , 75.251 , 87.785 , 84.503 , 70.415 , 68.095 , 63.401 , 64.300 , 81.582 , 81.251 , 70.480 , 76.472 , 71.889 , 73.964 
GO, 76.795 , 79.725 , 73.781 , 73.781 , 84.960 , 77.100 , 66.655 , 72.636 , 75.780 , 77.650 , 82.625 , 70.253 , 77.470 , 76.332 , 79.798 , 77.793 
DF, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MG, 79.029 , 79.900 , 73.448 , 73.448 , 84.786 , 84.927 , 67.652 , 70.939 , 77.914 , 73.900 , 74.935 , 74.636 , 78.816 , 74.525 , 83.724 , 82.088 
ES, 65.871 , 58.650 , 67.776 , 67.776 , 58.933 , 51.345 , 59.821 , 55.250 , 57.698 , 46.350 , 50.623 , 28.560 , 50.004 , 68.027 , 59.316 , 57.081 
RJ, 44.770 , 45.000 , 71.126 , 71.126 , 71.126 , 49.440 , 53.446 , 47.510 , 51.398 , 48.073 , 31.065 , 38.004 , 49.806 , 49.509 , 28.987 , 59.882 
SP, 84.390 , 86.620 , 89.040 , 89.040 , 87.815 , 83.021 , 69.938 , 74.827 , 81.899 , 72.900 , 81.717 , 77.501 , 76.607 , 75.207 , 79.636 , 81.656 
PR, 69.365 , 78.280 , 84.271 , 84.271 , 84.900 , 74.394 , 66.269 , 65.032 , 72.017 , 67.885 , 80.063 , 68.348 , 64.207 , 62.370 , 64.697 , 66.673 
SC, 36.010 , 39.188 , -  , -  , -  , -  , -  , -  , -  , -  ,, -  , -  , -  , -  , -  
RS, 27.960 , 35.100 , 57.150 , 57.150 , 48.826 , 48.250 , 55.956 , 21.100 , 51.575 , 54.376 , 49.386 , 40.991 , 38.291 , 41.581 , 46.905 , 45.000 
